ICO,AR7,AR30,AR180
pledgecamp,0.171109826,-0.081603026,
atlas-network,-0.291177245,-0.209704585,-1.184339478
loltoken-by-eiu-ac,-0.172088725,-0.504669733,
hotoken,-0.133537003,-0.258661412,-1.455285146
stellargoldcoin,1.821691023,0.26426992,-0.747506542
cedex,-0.060218745,0.224593828,-0.265753391
lendroid,-0.201358084,-0.332817113,-0.64912821
mobilinkcoin,-0.227522334,-0.43013389,-0.607191986
capdax,0.223878653,0.000965246,-0.667788318
lambda-1,0.632659013,0.761748282,22.50368538
gochain,-0.032146442,1.939509246,0.58669639
qredit,-0.035148614,0.327452428,-1.975081441
midas,0.350973689,0.244986684,-0.319423753
waves,-0.234617688,-1.105792034,-1.067902954
newton,-0.26264042,-1.082076359,-1.206339899
cybermiles,-0.204483687,1.2687282,1.014494085
medibloc,1.922080023,5.07195172,-0.14940775
vite,-0.207258174,-0.3961696,-0.315913151
hycon,-0.201701575,-0.400660591,-0.318501727
veriblock,-0.302773545,-0.686364639,-1.494386783
vinchain,0.156252674,-0.137536151,0.585225006
coti,-0.148138258,-0.689671632,-0.862628449
cryptocean,0.345858986,2.096745029,
verasity,-0.186367935,-0.416980161,-1.106371297
vexanium,-0.035700117,-0.015909087,-0.332324314
tokenpay,0.210219265,1.732905316,-0.262605531
adamant-messenger,-0.062657139,-0.408379857,-2.342399365
enecuum,0.036106428,-0.098333967,
sophiatx,0.746175734,1.785188677,-0.051089295
goldmint,0.368497973,0.070633291,-0.568844995
utrum,-0.008080796,0.245804798,-0.348178108
fiii,-0.316589002,-0.281262706,-2.656744942
exosis,1.870941024,1.317244344,-0.368106418
gohelpfund,-0.103269386,2.628338025,-0.219619531
filecoin,0.52214709,1.145110234,0.191202177
aunite,0.083619174,-0.021146853,-0.838609134
nervos,0.197060318,0.161421214,
theta-network,-0.168550898,-0.138187246,0.176886755
ocean-protocol,-0.434997855,-0.199459569,-0.41680883
nucleus,-0.250578185,0.060476831,-0.43697346
skrumble-network,-0.202472686,-0.286980191,-0.581102838
open-platform,0.182095916,-0.087407289,-0.575729333
seal,-0.109731445,-0.336048895,-0.384651871
decentralized-machine-learning,0.228692426,-0.634578758,-0.57559403
the-bee-token,-0.251280816,-0.308774593,-0.520870826
genaro,-0.073346789,0.117351907,0.043692314
noia-network,-0.119890422,-0.335390497,
vanta,-0.239062735,-0.495465351,-1.987869951
deepcloud,-0.328635261,-0.702110946,
verify,-0.302538175,5.247873939,-0.266227445
chainlink,0.029201421,0.213080111,-0.074766002
orbs,-0.323967615,-0.14054292,-1.21347644
telcoin,0.643093265,-0.027444232,-0.244969059
kleros,0.133994685,0.045375154,0.261696479
metronome,0.795351216,-0.30041032,-0.306467738
bezant,-0.192376538,-0.359091608,-0.377727784
aergo,-0.483922184,-0.633815007,-1.40246991
odyssey,1.003190502,-0.216372823,-0.31604158
videocoin,0.025240952,0.466905448,
shipchain,-0.440076509,-0.458985284,-0.636449745
phantasma,-0.246261444,-0.590597401,-0.47334205
amlt,-0.016527115,-0.50781082,-0.454731737
fuzex,0.460653038,0.105303825,-0.458959493
fortuna,-0.301291547,-0.4971396,-0.525489807
atonomi,-0.091964547,-0.464481343,-0.540913714
aditus,0.031299518,1.223653508,-0.548863206
narrative,2.123296787,0.321727789,0.228271686
agora,-0.240597623,-0.057337617,
drep,-0.316808591,-0.433721881,-0.768132307
blockcloud,-0.325153019,-0.716493547,-1.532014719
farmatrust,-0.467260233,-0.496400724,-0.119544567
aelf,-0.013145367,0.539879648,0.145721668
iotex,0.008963348,0.127313336,-0.228522454
cortex,0.466105022,0.751671627,-0.371182061
ultra,-0.361309442,-0.447075705,
pchain,-0.135543013,-0.44266426,-0.432845523
kambria,-0.135665696,-0.330731303,-2.413666056
insureum,-0.247722698,-0.534512866,-0.576305457
datx,-0.017580742,-0.123392208,-0.548985459
eos,1.78714569,0.749145183,4.759513862
komodo,0.06766846,-0.351652536,0.698594514
viberate,-0.715846673,-0.905866645,-1.13340342
icon,1.17813171,0.862439452,6.763528619
bancor,-0.790761229,-0.664140595,-5.412111588
loopring,-0.564586261,-0.098480488,3.760329475
storj,0.080997486,-0.340366794,-2.611634401
bytom,1.719436969,-0.765150528,0.238976569
digixdao,-0.135510202,-0.775959906,-1.112306484
tenx,-0.096963034,-0.878197397,-4.952952652
civic,-0.1737283,1.607098134,-0.381977247
lunyr,-0.033007826,-1.166468869,-2.08673053
