Name,Start Date,End Date,Soft Cap,Hard Cap,Funds Raised,Amount of Tokens at ICO,Consensus Mechanisms,Purpose,Type,Platform,On Exchanges?,Market Price,Market Volume,Market Cap,Circulating Supply,Bullish vs. Bearish Sentiment,Popularity
Science Blockchain (SCI),9/10/2017,11/21/2017,,,,,,,,,,,,,,,
Synapse (SYN),10/20/2017,11/21/2017,,,,,,,,,,,,,,,
BattleBall (BBC),10/30/2017,11/20/2017,,,,,,,,,,,,,,,
Bico (BICO),10/19/2017,11/20/2017,,,,,,,,,,,,,,,
Edge Smart Token (EST),11/6/2017,11/20/2017,,,,,,,,,,,,,,,
LydianCoin (LYDN),10/2/2017,11/20/2017,,,,,,,,,,,,,,,
MediBond (MED),10/19/2017,11/20/2017,,,,,,,,,,,,,,,
UTRUST (UTK),11/1/2017,11/20/2017,,,,,,,,,,,,,,,
Zap (ZAP),10/20/2017,11/20/2017,,,,,,,,,,,,,,,
Kript (KRPT),10/18/2017,11/19/2017,,,,,,,,,,,,,,,
Paycent (PYN),10/22/2017,11/19/2017,,,,,,,,,,,,,,,
Qbao (QTUM),11/15/2017,11/19/2017,,,,,,,,,,,,,,,
Udiar (IAR),9/19/2017,11/19/2017,,,,,,,,,,,,,,,
Commodity & Holdings Exchange (CHX),8/24/2017,11/17/2017,,,,,,,,,,,,,,,
DMarket (DMT),11/2/2017,11/17/2017,,,,,,,,,,,,,,,
Oracles Network (POA),11/17/2017,11/17/2017,,,,,,,,,,,,,,,
jNet1 (JNT),8/15/2017,11/16/2017,,,,,,,,,,,,,,,
Zavod Coin (ZVD),10/12/2017,11/16/2017,,,,,,,,,,,,,,,
ArtCoin Fund (ACF),10/31/2017,11/15/2017,,,,,,,,,,,,,,,
Crederoom (CDRT),10/15/2017,11/15/2017,,,,,,,,,,,,,,,
EtherSportz – ESZCoin (ESZ),10/31/2017,11/15/2017,,,,,,,,,,,,,,,
Fujinto (NTO),8/9/2017,11/15/2017,,,,,,,,,,,,,,,
Javvy Crypto Solution (JVY),10/31/2017,11/15/2017,,,,,,,,,,,,,,,
Latium (LAT),10/30/2017,11/15/2017,,,,,,,,,,,,,,,
