ICO,AR7,AR30,AR180,ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
ubex,0.309810069,-0.029465154,-0.51617886,ubex,UBEX,2796880,20137536,5/21/2018,9/30/2018,2018q2,132,Switzerland,ArtificialIntelligence,1,4,13,1,kyc,32,0.72,1," USA, North Korea, Iran",0,1,0,6800000
likecoin,0.027354468,-0.21288827,-0.303873565,likecoin,LIKE,3165624,9496872,5/7/2018,5/21/2018,2018q2,15,Hong Kong,"Art,Media",1,3.9,0,1,kyc,11,0.3,1," USA, China",0,1,1,5323604
blockport,0.036978007,0.397790001,-0.262712136,blockport,BPT,,15881700,1/24/2018,1/24/2018,2018q1,1,Netherlands,"Platform,Media,Cryptocurrency",1,2.8,0,0,0,9,0.714,,,0,1,0,15118350
sense,0.028251803,-0.163504675,-0.393998162,sense,SENSE,,,11/7/2017,11/21/2017,2017q4,15,USA,Communication,1,3.5,2,0,0,7,0.25,,,0,1,0,15000000
cryptopay,-0.573867585,-0.509200748,-0.391882042,cryptopay,CPAY,1180300,64260000,10/2/2017,10/30/2017,2017q4,28,UK,"Cryptocurrency,Banking,Businessservices,Investment",0,3.9,10,0,0,3,0.55,0," China, Ethiopia, Iran, Japan, North Korea, Pakistan, Serbia, Sri Lanka, Syria, Thailand, Trinidad & Tobago, Tunisia, United States, Vietnam, Yemen",0,1,0,18000000
loyalcoin,-0.056505614,-0.291924478,-0.262974425,loyalcoin,LYL,12000000,19000000,12/11/2017,2/10/2018,2017q4,61,Philippines,"Platform,Cryptocurrency,Retail",0,3.2,5,1,0,10,0.95,,,0,1,1,4022696
naga,0.223647471,0.174495401,-0.327400336,naga,NGC,1000000,400000000,12/1/2017,12/15/2017,2017q4,15,USA,"Businessservices,Investment",0,4,20,1,0,14,0.55,,,0,1,1,50020960
effect-ai,-0.058890862,-0.244363855,-0.464613049,effect-ai,EFX,5231016,18113004,3/1/2018,3/31/2018,2018q1,30,Netherlands,"ArtificialIntelligence,Platform",0,3.4,6,0,kyc&whitelist,8,0.4,1," Bosnia, Herzegovina, North Korea, Ethiopia, Iran, Iraq, China, Sri Lanka, Syria, Trinidad, Tobago, Tunisia, Vanuatu, Yemen, USA",0,0,0,13602384
linkeye,-0.300788108,-0.456023588,-0.496156062,linkeye,LET,,400000000,11/10/2017,1/31/2018,2017q4,82,Singapore,Platform,1,2.2,0,0,0,6,0.7,,,0,1,0,1600000
ampleforth,-0.185289441,-0.202563733,-0.063351385,ampleforth,AMPL,,4900000,6/27/2019,6/28/2019,2019q2,2,USA,Cryptocurrency,1,2.6,1,0,0,8,0.1,,,0,1,0,5000000
tixl,-0.08492652,-0.300974542,,tixl,MTXLT,,,7/17/2019,8/28/2019,2019q3,42,Germany,Cryptocurrency,0,4.6,0,1,whitelist,6,0.05,1," Afghanistan, China, Crimea Peninsula, Cuba, Eritrea, the GazaStrip, India, Iran, Iraq, Kosovo, Lebanon, Libya, Myanmar (Burma), Palestine, Somalia, South Sudan, Sudan, Syria, USA, Venezuela, Yemen, North Korea",1,1,1,1250000
cryptaur,0.328523808,-0.033674261,-0.13865652,cryptaur,,,,11/27/2017,3/12/2018,2017q4,105,Singapore,"Platform,Retail",1,3,14,1,0,7,0.3,,,0,1,0,12000000
indahash,-0.535150478,-0.658654689,-0.573329624,indahash,IDH,40000000,320000000,11/29/2017,12/20/2017,2017q4,22,Poland,"Platform,Media,Communication",1,4,19,1,0,16,0.8,1, USA,0,1,0,42000000
menapay,0.126377613,-0.860936624,-0.601986845,menapay,MPAY,5000000,25000000,3/15/2019,5/15/2019,2019q1,61,United Arab Emirates,"Banking,Cryptocurrency",1,3.7,5,0,kyc&whitelist,43,0.64,1, USA,1,1,0,8500000
lendingblock,-0.091421073,-0.405664085,-0.397312494,lendingblock,LND,5000000,10000000,4/15/2018,4/22/2018,2018q2,8,UK,"Cryptocurrency,Investment,Other",1,3.1,3,1,kyc&whitelist,6,0.1,1," USA, China",0,1,1,10000000
airbloc,-0.362779502,-0.293379264,-0.410935751,airbloc,ABL,3765720,10759200,6/19/2018,6/29/2018,2018q2,11,Singapore,"BigData,ArtificialIntelligence,Businessservices,Cryptocurrency,Platform",1,3.4,11,1,kyc&whitelist,21,0.55,1," USA, North Korea, China",0,1,1,10400000
temco,-0.298607324,-0.623585167,-2.061281308,temco,TEMCO,5000000,19000000,12/24/2018,12/27/2018,2018q4,4,Singapore,"SmartContract,Platform,Businessservices,Software",0,4.3,11,0,kyc&whitelist,12,0.5,1," USA, China",0,1,0,19000000
vetri,0.399674137,1.469862765,-0.164018301,vetri,VLD,2000000,25000000,2/24/2018,3/17/2018,2018q1,22,Switzerland,"BigData,Communication,Cryptocurrency,Platform,SmartContract",1,3.4,7,1,kyc,9,0.5,1, USA,0,1,0,10730000
carvertical,-0.239368601,-0.617749573,-0.512669522,carvertical,cV,2360212,19910000,12/23/2017,1/15/2018,2017q4,23,Estonia,"Platform,Businessservices,Other",1,3.8,13,0,0,14,0.43,,,0,1,0,19911150
multivac,0.093036417,-0.640937139,-1.33560927,multivac,MTV,,3600000,4/3/2019,4/7/2019,2019q2,5,Singapore,Platform,1,2.8,2,0,0,15,0.06,,,0,1,0,16200000
cargox,-0.163471181,-0.465683313,-0.509452588,cargox,CXO,1500000,7000000,1/23/2018,1/23/2018,2018q1,1,Slovenia,"Businessservices,Infrastructure",1,3.9,6,0,0,10,0.4,,,0,0,0,7000000
covesting,-0.478134884,-0.64064629,-0.259656383,covesting,COV,949820,18750000,11/24/2017,1/15/2018,2017q4,52,Gibraltar,"Platform,Investment,Education",1,3.3,16,0,0,12,0.07,,,0,1,0,18800000
